SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,3701 Merrimac Trl,Annandale,VA,22003,779000,6,3.5,Lafayette Village,2649,16422,1981,2,Garage,23,Pending,,,,,779000,2015-03-30,692500,http://www.redfin.com/VA/Annandale/3701-Merrimac-Trl-22003/home/9630657,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10187265,RE/MAX Executives,N,Y,38.8436135,-77.2143559,false
MLS Listing,Townhouse,156 Rees Pl,Falls Church,VA,22046,929500,3,3.5,Rees Place Townhouses,2512,2235,1997,2,Garage,2,Active,2018-04-15,14:00,16:00,,929500,2015-07-10,900000,http://www.redfin.com/VA/Falls-Church/156-Rees-Pl-22046/home/12034499,"Metropolitan Regional Information Systems, Inc. (MRIS)",FA10206882,"Long & Foster Real Estate, Inc.",N,Y,38.8851199,-77.1797222,false
MLS Listing,Single Family Residential,2805 George Mason Rd,Falls Church,VA,22042,499900,4,2.0,Greenway Downs,1439,6250,1947,1,,39,Pending,,,,,499900,,,http://www.redfin.com/VA/Falls-Church/2805-W-George-Mason-Rd-22042/home/9554123,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10172437,"McEnearney Associates, Inc.",N,Y,38.8775059,-77.183079,false
MLS Listing,Single Family Residential,7709 Bridle Path Ln,Mclean,VA,22102,1050000,4,2.5,Mc Lean Hunt,2942,20170,1968,2,Garage,29,Pending,,,,,1050000,2012-12-21,862500,http://www.redfin.com/VA/McLean/7709-Bridle-Path-Ln-22102/home/9376593,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10182911,"Weichert, REALTORS",N,Y,38.9406289,-77.2122,false
MLS Listing,Single Family Residential,7323 Mendota Ave,Falls Church,VA,22042,489900,3,1.0,Bogers Fenwick Park,1056,13187,1955,1,,25,Pending,,,,2018-04-05,499900,,,http://www.redfin.com/VA/Falls-Church/7323-Mendota-Ave-22042/home/9557402,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10178261,Coldwell Banker Residential Brokerage,N,Y,38.8738776,-77.1992639,false
MLS Listing,Single Family Residential,7884 Train Ct,Dunn Loring,VA,22027,1060000,4,3.5,Morgan Chase,3891,4618,2002,2,Garage,73,Active,2018-04-15,14:00,16:00,2018-03-13,1080000,2002-12-31,685737,http://www.redfin.com/VA/Dunn-Loring/7884-Train-Ct-22027/home/9836779,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10145289,Cottage Street Realty LLC,N,Y,38.8954535,-77.2170956,false
MLS Listing,Townhouse,149 Center St S,Vienna,VA,22180,940430,3,3.5,Cadence On Center,2395,,2018,1,,82,Active,,,,,940430,,,http://www.redfin.com/VA/Vienna/149-Center-St-S-22180/home/144758795,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10139526,Berkshire Hathaway HomeServices PenFed Realty,N,Y,38.9006884,-77.2645203,false
MLS Listing,Single Family Residential,1352 Carpers Farm Way,Vienna,VA,22182,975000,4,3.5,Carpers Farm,3825,29698,1981,2,Garage,10,Active,,,,,975000,2015-07-21,900000,http://www.redfin.com/VA/Vienna/1352-Carpers-Farm-Way-22182/home/9246553,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10199017,"Weichert, REALTORS",N,Y,38.9643501,-77.2979109,false
MLS Listing,Single Family Residential,6304 23rd St N,Arlington,VA,22205,949900,5,4.0,East Falls Church,3070,9890,1955,1,,9,Pending,,,,,949900,2001-07-27,390000,http://www.redfin.com/VA/Arlington/6304-23rd-St-N-22205/home/11238984,"Metropolitan Regional Information Systems, Inc. (MRIS)",AR10199293,"William G. Buck & Assoc., Inc.",N,Y,38.8902117,-77.1538639,false
MLS Listing,Single Family Residential,2205 Chestertown Dr,Vienna,VA,22182,825000,5,2.5,Tysons Woods,2726,8464,1972,2,Garage,23,Active,2018-04-15,13:00,16:00,,825000,2001-12-14,345000,http://www.redfin.com/VA/Vienna/2205-Chestertown-Dr-22182/home/9466706,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10187842,"Weichert, REALTORS",N,Y,38.9024207,-77.2415705,false
MLS Listing,Single Family Residential,1970 Horse Shoe Dr,Vienna,VA,22182,1000000,5,4.5,Ashgrove Plantation,3102,9248,1994,2,Garage,15,Pending,,,,,1000000,,,http://www.redfin.com/VA/Vienna/1970-Horse-Shoe-Dr-22182/home/9458575,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10194232,Keller Williams Realty,N,Y,38.9121841,-77.2418175,false
MLS Listing,Single Family Residential,6934 Hickory St,Falls Church,VA,22043,1249990,5,4.5,Ellison Heights,4070,6560,2018,2,Garage,16,Active,,,,,1249990,,,http://www.redfin.com/VA/Falls-Church/6934-Hickory-St-22043/home/143775765,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10193367,"Advantage Properties, Inc.",N,Y,38.8919983,-77.1929705,false
MLS Listing,Single Family Residential,2023 Carrhill Rd,Vienna,VA,22181,1059900,5,4.0,Carriage Hill,4169,40075,1965,2,Garage,31,Active,,,,,1059900,2004-08-30,681000,http://www.redfin.com/VA/Vienna/2023-Carrhill-Rd-22181/home/9366574,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10180144,"UpsideDoor Inc,",N,Y,38.9185425,-77.2890249,false
MLS Listing,Single Family Residential,10102 Tamarack Dr,Vienna,VA,22182,839000,4,2.5,Tamarack,2355,25269,1972,2,Garage,36,Active,2018-04-15,13:00,16:00,,839000,2016-05-24,715000,http://www.redfin.com/VA/Vienna/10102-Tamarack-Dr-22182/home/9358712,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10175563,"Long & Foster Real Estate, Inc.",Y,Y,38.9347452,-77.2950833,false
MLS Listing,Single Family Residential,3424 Silver Maple Pl,Falls Church,VA,22042,749000,4,3.5,Walnut Hill,3700,4384,1990,2,Garage,8,Active,,,,2018-04-14,775000,2008-05-20,639270,http://www.redfin.com/VA/Falls-Church/3424-Silver-Maple-Pl-22042/home/9634545,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10198737,RE/MAX Allegiance,N,Y,38.8509139,-77.2028349,false
